Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,center-leaf2-1,Ethernet1,spine,rz-spine1,Ethernet3,True
l3leaf,center-leaf2-1,Ethernet2,spine,rz-spine2,Ethernet3,True
l3leaf,center-leaf2-1,Ethernet3,server,center-position1,eth1,True
l3leaf,center-leaf2-1,Ethernet8,l2leaf,tower-leaf3-1,Ethernet1,True
l3leaf,center-leaf2-2,Ethernet1,spine,rz-spine1,Ethernet4,True
l3leaf,center-leaf2-2,Ethernet2,spine,rz-spine2,Ethernet4,True
l3leaf,center-leaf2-2,Ethernet3,server,center-position1,eth2,True
l3leaf,radarstation-edge1-1,Ethernet1,other,router,eth3,True
l3leaf,radarstation-edge1-1,Ethernet3,mlag_peer,radarstation-edge1-2,Ethernet3,True
l3leaf,radarstation-edge1-1,Ethernet4,mlag_peer,radarstation-edge1-2,Ethernet4,True
l3leaf,radarstation-edge1-1,Ethernet5,server,radar-cam1,eth1,True
l3leaf,radarstation-edge1-1,Ethernet6,server,radar,eth1,True
l3leaf,radarstation-edge1-2,Ethernet1,other,router,eth4,True
l3leaf,radarstation-edge1-2,Ethernet3,mlag_peer,radarstation-edge1-1,Ethernet3,True
l3leaf,radarstation-edge1-2,Ethernet4,mlag_peer,radarstation-edge1-1,Ethernet4,True
l3leaf,radarstation-edge1-2,Ethernet6,server,radar,eth2,True
l3leaf,rz-sdf-leaf1-1,Ethernet1,spine,rz-spine1,Ethernet1,True
l3leaf,rz-sdf-leaf1-1,Ethernet2,spine,rz-spine2,Ethernet1,True
l3leaf,rz-sdf-leaf1-1,Ethernet3,mlag_peer,rz-sdf-leaf1-2,Ethernet3,True
l3leaf,rz-sdf-leaf1-1,Ethernet4,mlag_peer,rz-sdf-leaf1-2,Ethernet4,True
l3leaf,rz-sdf-leaf1-1,Ethernet5,server,sdf-server1,eth1,True
l3leaf,rz-sdf-leaf1-1,Ethernet6,server,sdf-server2,eth1,True
l3leaf,rz-sdf-leaf1-1,Ethernet7,server,rec-server,eth1,True
l3leaf,rz-sdf-leaf1-1,Ethernet8,other,router,eth1,True
l3leaf,rz-sdf-leaf1-2,Ethernet1,spine,rz-spine1,Ethernet2,True
l3leaf,rz-sdf-leaf1-2,Ethernet2,spine,rz-spine2,Ethernet2,True
l3leaf,rz-sdf-leaf1-2,Ethernet3,mlag_peer,rz-sdf-leaf1-1,Ethernet3,True
l3leaf,rz-sdf-leaf1-2,Ethernet4,mlag_peer,rz-sdf-leaf1-1,Ethernet4,True
l3leaf,rz-sdf-leaf1-2,Ethernet5,server,sdf-server1,eth2,True
l3leaf,rz-sdf-leaf1-2,Ethernet6,server,sdf-server2,eth2,True
l3leaf,rz-sdf-leaf1-2,Ethernet7,server,rec-server,eth2,True
l3leaf,rz-sdf-leaf1-2,Ethernet8,other,router,eth2,True
spine,rz-spine1,Ethernet1,l3leaf,rz-sdf-leaf1-1,Ethernet1,True
spine,rz-spine1,Ethernet2,l3leaf,rz-sdf-leaf1-2,Ethernet1,True
spine,rz-spine1,Ethernet3,l3leaf,center-leaf2-1,Ethernet1,True
spine,rz-spine1,Ethernet4,l3leaf,center-leaf2-2,Ethernet1,True
spine,rz-spine2,Ethernet1,l3leaf,rz-sdf-leaf1-1,Ethernet2,True
spine,rz-spine2,Ethernet2,l3leaf,rz-sdf-leaf1-2,Ethernet2,True
spine,rz-spine2,Ethernet3,l3leaf,center-leaf2-1,Ethernet2,True
spine,rz-spine2,Ethernet4,l3leaf,center-leaf2-2,Ethernet2,True
l2leaf,tower-leaf3-1,Ethernet1,l3leaf,center-leaf2-1,Ethernet8,True
l2leaf,tower-leaf3-1,Ethernet3,mlag_peer,tower-leaf3-2,Ethernet3,True
l2leaf,tower-leaf3-1,Ethernet4,mlag_peer,tower-leaf3-2,Ethernet4,True
l2leaf,tower-leaf3-1,Ethernet5,server,tower-position1,eth1,True
l2leaf,tower-leaf3-1,Ethernet6,server,tower-df1,eth1,True
l2leaf,tower-leaf3-2,Ethernet3,mlag_peer,tower-leaf3-1,Ethernet3,True
l2leaf,tower-leaf3-2,Ethernet4,mlag_peer,tower-leaf3-1,Ethernet4,True
l2leaf,tower-leaf3-2,Ethernet5,server,tower-position1,eth2,True
l2leaf,tower-leaf3-2,Ethernet6,server,tower-cam1,eth1,True
